name,subDistrict,district,province,level
โรงเรียนคำเขื่อนแก้ววิทยาคม,คำเขื่อนแก้ว,ชานุมาน,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนคึมใหญ่วิทยา,คึมใหญ่,เมืองอำนาจเจริญ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนจิกดู่วิทยา,จิกดู่,หัวตะพาน,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนชานุมานวิทยาคม,ชานุมาน,ชานุมาน,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนนาจิกพิทยาคม,ดอนเมย,เมืองอำนาจเจริญ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนนายมวิทยาคาร,นายม,เมืองอำนาจเจริญ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนนาวังวิทยา,นาวัง,เมืองอำนาจเจริญ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนนาเวียงจุลดิศวิทยา,นาเวียง,เสนางคนิคม,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนน้ำปลีกศึกษา,น้ำปลีก,เมืองอำนาจเจริญ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนปทุมราชวงศา,นาหว้า,ปทุมราชวงศา,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนปลาค้าววิทยานุสรณ์,ปลาค้าว,เมืองอำนาจเจริญ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนพนาศึกษา,พระเหลา,พนา,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนมัธยมแมด,แมด,ลืออำนาจ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนลือวิทยาคม,ลือ,ปทุมราชวงศา,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนลืออำนาจวิทยาคม,อำนาจ,ลืออำนาจ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนศรีคูณวิทยบัลลังก์,จานลาน,พนา,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนศรีเจริญศึกษา,หัวตะพาน,หัวตะพาน,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนสร้างนกทาวิทยาคม,สร้างนกทา,เมืองอำนาจเจริญ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนเสนางคนิคม,เสนางคนิคม,เสนางคนิคม,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนหัวตะพานวิทยาคม,หนองแก้ว,หัวตะพาน,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนอำนาจเจริญ,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนอำนาจเจริญพิทยาคม,บุ่ง,เมืองอำนาจเจริญ,อำนาจเจริญ,มัธยมศึกษา
โรงเรียนบ้านภักดีเจริญหัวนาโคกช้างมะนาย,ห้วยไร่,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนป่าติ้วป่าเตยวิทยาสรรค์,กุดปลาดุก,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนโคกศรีหนองคลอง,ไก่คำ,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนบ้านกุดปลาดุก,กุดปลาดุก,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนบ่อบุโปโล,ไก่คำ,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนหนองนาเทิงโนนผึ้ง,นาจิก,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนนาแต้โคกสำราญ,นาแต้,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนนาผือโคกกอก,นาผือ,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนหนองแห่โนนสมบูรณ์,นายม,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนนาวังกุดตากล้า,นาวัง,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนแก้งกฐินภูจำปา,นาหมอม้า,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนโพธิ์ศิลานาหว้า,โนนโพธิ์,เมืองอำนาจเจริญ,อำนาจเจริญ,
โรงเรียนนาห้วยยางสองคอน,โนนโพธิ์,เมืองอำนาจเจริญ,อำนาจเจริญ,
