name,subDistrict,district,province,level
โรงเรียนกุดจับประชาสรรค์,เมืองเพีย,กุดจับ,อุดรธานี,มัธยมศึกษา
โรงเรียนกุมภวาปี,กุมภวาปี,กุมภวาปี,อุดรธานี,มัธยมศึกษา
โรงเรียนกุมภวาปีพิทยาสรรค์,พันดอน,กุมภวาปี,อุดรธานี,มัธยมศึกษา
โรงเรียนกู่แก้ววิทยา,บ้านจีต,กู่แก้ว,อุดรธานี,มัธยมศึกษา
โรงเรียนคำยางพิทยา,ผาสุก,วังสามหมอ,อุดรธานี,มัธยมศึกษา
โรงเรียนจอมศรีพิทยาคาร,จอมศรี,เพ็ญ,อุดรธานี,มัธยมศึกษา
โรงเรียนจำปาโมงวิทยาคาร,จำปาโมง,บ้านผือ,อุดรธานี,มัธยมศึกษา
โรงเรียนเชียงพังพัฒนวิช,นากว้าง,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนเชียงหวางพิทยาคาร,เชียงหวาง,เพ็ญ,อุดรธานี,มัธยมศึกษา
โรงเรียนไชยวานวิทยา,ไชยวาน,ไชยวาน,อุดรธานี,มัธยมศึกษา
โรงเรียนดงเย็นพิทยาคาร,ดงเย็น,บ้านดุง,อุดรธานี,มัธยมศึกษา
โรงเรียนตาดทองพิทยาคม,ตาดทอง,ศรีธาตุ,อุดรธานี,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ อุดรธานี,บ้านผือ,บ้านผือ,อุดรธานี,มัธยมศึกษา
โรงเรียนทมนางามวิทยาคม,ทมนางาม,โนนสะอาด,อุดรธานี,มัธยมศึกษา
โรงเรียนทรัพย์อุดมวิทยา,บ้านจันทน์,บ้านดุง,อุดรธานี,มัธยมศึกษา
โรงเรียนทุ่งฝนพัฒนศึกษา,ทุ่งใหญ่,ทุ่งฝน,อุดรธานี,มัธยมศึกษา
โรงเรียนทุ่งฝนวิทยาคาร,ทุ่งฝน,ทุ่งฝน,อุดรธานี,มัธยมศึกษา
โรงเรียนธาตุโพนทองวิทยาคม,หนองนาคำ,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนนานกชุมวิทยาคม,บะยาว,วังสามหมอ,อุดรธานี,มัธยมศึกษา
โรงเรียนนาไหมพิทยาคม รัชมังคลาภิเษก,นาไหม,บ้านดุง,อุดรธานี,มัธยมศึกษา
โรงเรียนน้ำโสมพิทยาคม,นางัว,น้ำโสม,อุดรธานี,มัธยมศึกษา
โรงเรียนนิคมสงเคราะห์วิทยา,นิคมสงเคราะห์,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนโนนสะอาดชุมแสงวิทยา,บ้านชัย,บ้านดุง,อุดรธานี,มัธยมศึกษา
โรงเรียนโนนสะอาดพิทยาสรรค์,โนนสะอาด,โนนสะอาด,อุดรธานี,มัธยมศึกษา
โรงเรียนโนนสูงพิทยาคาร,โนนสูง,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนบ้านเชียงวิทยา,บ้านเชียง,หนองหาน,อุดรธานี,มัธยมศึกษา
โรงเรียนบ้านดุงวิทยา,ศรีสุทโธ,บ้านดุง,อุดรธานี,มัธยมศึกษา
โรงเรียนประจักษ์ศิลปาคม,นาม่วง,ประจักษ์ศิลปาคม,อุดรธานี,มัธยมศึกษา
โรงเรียนประจักษ์ศิลปาคาร,หนองบัว,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนพิบูลย์รักษ์พิทยา,บ้านแดง,พิบูลย์รักษ์,อุดรธานี,มัธยมศึกษา
โรงเรียนเพ็ญพิทยาคม,เพ็ญ,เพ็ญ,อุดรธานี,มัธยมศึกษา
โรงเรียนโพนสูงพัฒนศึกษา,โพนสูง,ไชยวาน,อุดรธานี,มัธยมศึกษา
โรงเรียนภูพระบาทวิทยา,เมืองพาน,บ้านผือ,อุดรธานี,มัธยมศึกษา
โรงเรียนภูพานวิทยา,ขอนยูง,กุดจับ,อุดรธานี,มัธยมศึกษา
โรงเรียนมัธยมสิริวัณวรี 1 อุดรธานี ในพระราชูปถัมภ์ฯ,เชียงพิณ,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนยิ่งยวดพิทยานุกูล,บ้านยวด,สร้างคอม,อุดรธานี,มัธยมศึกษา
โรงเรียนยูงทองพิทยาคม,นายูง,นายูง,อุดรธานี,มัธยมศึกษา
โรงเรียนราชินูทิศ 2,บ้านจั่น,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนวังสามหมอวิทยาคาร,วังสามหมอ,วังสามหมอ,อุดรธานี,มัธยมศึกษา
โรงเรียนศรีธาตุพิทยาคม,ศรีธาตุ,ศรีธาตุ,อุดรธานี,มัธยมศึกษา
โรงเรียนสตรีราชินูทิศ,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนสร้างคอมวิทยา,สร้างคอม,สร้างคอม,อุดรธานี,มัธยมศึกษา
โรงเรียนสามพร้าววิทยา,สามพร้าว,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนสามพาดพิทยาคาร,ห้วยสามพาด,ประจักษ์ศิลปาคม,อุดรธานี,มัธยมศึกษา
โรงเรียนสามัคคีพิทยาคาร,สามัคคี,น้ำโสม,อุดรธานี,มัธยมศึกษา
โรงเรียนสีออศิลปศาสตร์,ท่าลี่,กุมภวาปี,อุดรธานี,มัธยมศึกษา
โรงเรียนสุมเส้าพิทยาคาร,เพ็ญ,เพ็ญ,อุดรธานี,มัธยมศึกษา
โรงเรียนเสอเพลอพิทยาคม,เสอเพลอ,กุมภวาปี,อุดรธานี,มัธยมศึกษา
โรงเรียนแสงอร่ามพิทยาคม,กุดหมากไฟ,หนองวัวซอ,อุดรธานี,มัธยมศึกษา
โรงเรียนหนองแดงวิทโยดม,สีออ,กุมภวาปี,อุดรธานี,มัธยมศึกษา
โรงเรียนหนองยางชุมพิทยาคม,หนองวัวซอ,หนองวัวซอ,อุดรธานี,มัธยมศึกษา
โรงเรียนหนองวัวซอพิทยาคม,โนนหวาย,หนองวัวซอ,อุดรธานี,มัธยมศึกษา
โรงเรียนหนองแสงวิทยศึกษา,ทับกุง,หนองแสง,อุดรธานี,มัธยมศึกษา
โรงเรียนหนองหัวคูปวงประชานุเคราะห์,หนองหัวคู,บ้านผือ,อุดรธานี,มัธยมศึกษา
โรงเรียนหนองหานวิทยา,หนองหาน,หนองหาน,อุดรธานี,มัธยมศึกษา
โรงเรียนห้วยเกิ้งพิทยาคาร,ห้วยเกิ้ง,กุมภวาปี,อุดรธานี,มัธยมศึกษา
โรงเรียนอุดรธรรมานุสรณ์,บ้านตาด,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนอุดรธานีพิทยาคม,กุดสระ,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนอุดรพัฒนศึกษา,นาดี,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนอุดรพัฒนาการ,บ้านจั่น,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษาตอนปลาย
โรงเรียนอุดรพิชัยรักษ์พิทยา,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนอุดรพิทยานุกูล,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนอุดรพิทยานุกูล 2,เชียงพิณ,เมืองอุดรธานี,อุดรธานี,มัธยมศึกษา
โรงเรียนค่ายประจักษ์ศิลปาคม,บ้านจั่น,เมืองอุดรธานี,อุดรธานี,
โรงเรียนชุมชนนากว้างพัฒนศึกษา,นากว้าง,เมืองอุดรธานี,อุดรธานี,
โรงเรียนชุมชนนิคมสร้างตนเองเชียงพิณ 2,นิคมสงเคราะห์,เมืองอุดรธานี,อุดรธานี,
โรงเรียนชุมชนโนนสูง,โนนสูง,เมืองอุดรธานี,อุดรธานี,
โรงเรียนชุมชนบ้านเดื่อวิทยา,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,
โรงเรียนชุมชนสามพร้าว,สามพร้าว,เมืองอุดรธานี,อุดรธานี,
โรงเรียนชุมชนหมูม่นวิทยาสรรค์,หมูม่น,เมืองอุดรธานี,อุดรธานี,
โรงเรียนถ่อนใหญ่ถ่อนน้อย,นาข่า,เมืองอุดรธานี,อุดรธานี,
โรงเรียนไทยรัฐวิทยา 92 (ชุมชนนาข่า),นาข่า,เมืองอุดรธานี,อุดรธานี,
โรงเรียนนาคลองหนองศรีคามวิทยา,เชียงพิณ,เมืองอุดรธานี,อุดรธานี,
โรงเรียนนิคมสร้างตนเองเชียงพิณ 1,หนองบัวบาน,หนองวัวซอ,อุดรธานี,
โรงเรียนนิคมสร้างตนเองเชียงพิณ 3,โคกสะอาด,เมืองอุดรธานี,อุดรธานี,
โรงเรียนนิคมสร้างตนเองเชียงพิณ 5,โคกสะอาด,เมืองอุดรธานี,อุดรธานี,
โรงเรียนบ่อน้อยประชาสรรค์,เชียงยืน,เมืองอุดรธานี,อุดรธานี,
โรงเรียนบ้านหนองโสกดาว,โนนสูง,เมืองอุดรธานี,อุดรธานี,
โรงเรียนบ้านเม่น,บ้านขาว,เมืองอุดรธานี,อุดรธานี,
โรงเรียนบ้านดู่,บ้านขาว,เมืองอุดรธานี,อุดรธานี,
