name,subDistrict,district,province,level
โรงเรียนดาราพิทยาคม,บ้านดารา,พิชัย,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนด่านแม่คำมันพิทยาคม,ด่านแม่คำมัน,ลับแล,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนตรอนตรีสินธุ์,บ้านแก่ง,ตรอน,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาน้อมเกล้า อุตรดิตถ์,ผาจุก,เมืองอุตรดิตถ์,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนทองแสนขันวิทยา,บ่อทอง,ทองแสนขัน,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนท่าปลาประชาอุทิศ,ท่าปลา,ท่าปลา,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนทุ่งกะโล่วิทยา,ป่าเซ่า,เมืองอุตรดิตถ์,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนน้ำปาดชนูปถัมภ์,แสนตอ,น้ำปาด,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนน้ำริดวิทยา,น้ำริด,เมืองอุตรดิตถ์,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนบ้านโคกวิทยาคม,บ้านโคก,บ้านโคก,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนบ้านโคนพิทยา,บ้านโคน,พิชัย,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนพิชัย,ในเมือง,พิชัย,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนฟากท่าวิทยา,ฟากท่า,ฟากท่า,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนลับแลพิทยาคม,ฝายหลวง,ลับแล,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนลับแลศรีวิทยา,ไผ่ล้อม,ลับแล,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนแสนตองวิทยา,แสนตอ,เมืองอุตรดิตถ์,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนอุตรดิตถ์,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนอุตรดิตถ์ดรุณี,ท่าอิฐ,เมืองอุตรดิตถ์,อุตรดิตถ์,มัธยมศึกษา
โรงเรียนชายเขาวิทยา,น้ำริด,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนด่านวิทยา,บ้านด่านนาขาม,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนบ้านแก่ง (ไกรสรพงษ์สงเคราะห์),บ้านแก่ง,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนบ้านโคน,บ้านโคน,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนบ้านดง,พญาแมน,พิชัย,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านวังหิน,วังแดง,ตรอน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนชุมชนไผ่ล้อมวิทยา,ไผ่ล้อม,ลับแล,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนเมืองปากฝาง,งิ้วงาม,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดบรมธาตุ,ทุ่งยั้ง,ลับแล,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนด่านแม่คำมัน,ด่านแม่คำมัน,ลับแล,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 5 (วัดตลิ่งต่ำ),ทุ่งยั้ง,ลับแล,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนนานกกก,นานกกก,ลับแล,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนนาน้อยวิทยา,หาดงิ้ว,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนนาอินวิทยาคม,นาอิน,พิชัย,อุตรดิตถ์,อนุบาล-มัธยมศึกษา
โรงเรียนน้ำริดราษฎร์บำรุง,น้ำริด,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านกองโค,คอรุม,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านขอม,พญาแมน,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านข่อยสูง,ข่อยสูง,ตรอน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านขุนฝาง,ขุนฝาง,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านคลองกล้วย,คอรุม,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองกะชี,ในเมือง,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองกะพั้ว,บ้านโคน,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองเรียงงาม,บ้านโคน,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองละมุง,ไร่อ้อย,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคลองละวาน,ในเมือง,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านคุ้งตะเภา,คุ้งตะเภา,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านงิ้วงาม,งิ้วงาม,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านชำตก,ท่าสัก,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านชำทอง,บ้านแก่ง,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านชำผักหนาม,ด่านแม่คำมัน,ลับแล,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านชำสอง,ท่าสัก,พิชัย,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านชำหนึ่ง,ท่าสัก,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านไชยมงคล,น้ำอ่าง,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านซ่านสามัคคี,หาดกรวด,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านดงช้างดี,หาดกรวด,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านดอนโพ,บ้านหม้อ,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านดารา,บ้านดารา,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านดินแดง,ไร่อ้อย,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านเด่นด่าน,บ้านด่าน,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านเด่นสำโรง,หาดสองแคว,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านเต่าไหเหนือ,ท่าสัก,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านทับใหม่ (ราษฎร์บำรุง),หาดกรวด,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านท่าช้าง,บ่อทอง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านท่าเดื่อ,คอรุม,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านท่ามะปราง,พญาแมน,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านท่าสัก,ท่าสัก,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านท้ายน้ำ,บ้านหม้อ,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านท่าอวน,วังแดง,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านทุ่งป่ากระถิน,พญาแมน,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านนาป่าคาย,ป่าคาย,ทองแสนขัน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านนายาง,นายาง,พิชัย,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาอิซาง,นายาง,พิชัย,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านน้ำไคร้,บ้านด่านนาขาม,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านน้ำพี้มิตรภาพที่ 214,น้ำพี้,ทองแสนขัน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านน้ำลอก (รัฐราษฎร์รังสรรค์),บ่อทอง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านน้ำหมีใหญ่ (ประชาชนอุทิศ),ผักขวง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านน้ำอ่าง (สำนักงานสลากกินแบ่งสงเคราะห์ที่ 163),น้ำอ่าง,ตรอน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านในเมือง,ในเมือง,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านบ่อพระ,คุ้งตะเภา,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านบึงท่ายวน,คอรุม,พิชัย,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านบึงพาด (นิคมราษฎร์สงเคราะห์),หาดสองแคว,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านปากคลอง,คอรุม,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านป่ากะพี้,ท่ามะเฟือง,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านปางวุ้น,ผักขวง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านปางหมิ่น,บ่อทอง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านป่าแต้ว,คอรุม,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านป่าเซ่า (ประชานุสรณ์),บ้านเกาะ,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านผักขวง,ผักขวง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านแพะ,บ่อทอง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านฟากบึง,นาอิน,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านร้องลึก,ผักขวง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านโรงหม้อมิตรภาพที่ 75,บ้านหม้อ,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านวังดิน,วังดิน,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านวังแดง,หาดงิ้ว,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านวังแดง (สหจิตวิทยาคาร),วังแดง,ตรอน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านวังแดง (หมู่สองสามัคคี),วังแดง,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านวังถ้ำ,ถ้ำฉลอง,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านวังเบน (ภูธรอุปถัมภ์),บ่อทอง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านวังปรากฏ (ประชานุกูล),ป่าคาย,ทองแสนขัน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านวังโป่ง,วังกะพี้,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านวังสะโม,บ้านดารา,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านแสนขัน,บ่อทอง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านหนองกวาง,นายาง,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านหน้าพระธาตุ,ในเมือง,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านหลักร้อย,นายาง,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านห้วยฉลอง,ถ้ำฉลอง,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านห้วยใต้,แม่พูล,ลับแล,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยทราย,ด่านแม่คำมัน,ลับแล,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านหัวค่าย,ในเมือง,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านหัวหาด,คุ้งตะเภา,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านหาดงิ้ว,หาดงิ้ว,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านหาดทับยา,ท่ามะเฟือง,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านหาดสองแคว,หาดสองแคว,ตรอน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านหาดเสือเต้น,คุ้งตะเภา,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านเหล่า,น้ำอ่าง,ตรอน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านเหล่าป่าสา,ขุนฝาง,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านแหลมถ่อนสามัคคี,ข่อยสูง,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านแหลมทอง (ราษฎร์สามัคคี),ข่อยสูง,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนบ้านใหม่ (เยาวชนประชาสงเคราะห์),วังแดง,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนประชาชนอุทิศ,บ้านด่านนาขาม,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนป่าขนุนเจริญวิทยา,คุ้งตะเภา,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนไผ่ใหญ่ (เกษตรกรอุปถัมภ์),หาดกรวด,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนพงสะตือ (รัฐ-ประชาสรรค์),บ้านแก่ง,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนพิชัยดาบหัก 1,ท่าเสา,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนม่อนดินแดงวิทยาคม,ท่าเสา,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนร้องประดู่ (หนุนเภา-ประชาสงเคราะห์),บ้านแก่ง,ตรอน,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนราษฎร์อำนวย,บ้านด่านนาขาม,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนไร่อ้อย,ไร่อ้อย,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนวังโป่งดำรงวิทย์,ผักขวง,ทองแสนขัน,อุตรดิตถ์,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนวัดคลองนาพง,ผาจุก,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนวัดคุ้งยาง,บ้านด่าน,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนวัดช่องลม,หาดงิ้ว,เมืองอุตรดิตถ์,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนวัดดงสระแก้ว,ไผ่ล้อม,ลับแล,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนวัดดอกไม้,ท่ามะเฟือง,พิชัย,อุตรดิตถ์,อนุบาล-ประถมศึกษา
โรงเรียนวัดดอนสัก,ฝายหลวง,ลับแล,อุตรดิตถ์,อนุบาล-ประถมศึกษา
