name,subDistrict,district,province,level
โรงเรียนกาญจนาภิเษกวิทยาลัย อุทัยธานี,ดอนกลอย,หนองขาหย่าง,อุทัยธานี,มัธยมศึกษา
โรงเรียนการุ้งวิทยาคม,เมืองการุ้ง,บ้านไร่,อุทัยธานี,มัธยมศึกษา
โรงเรียนตลุกดู่วิทยาคม,ตลุกดู่,ทัพทัน,อุทัยธานี,มัธยมศึกษา
โรงเรียนทองหลางวิทยาคม,คอกควาย,บ้านไร่,อุทัยธานี,มัธยมศึกษา
โรงเรียนทัพทันอนุสรณ์,ทัพทัน,ทัพทัน,อุทัยธานี,มัธยมศึกษา
โรงเรียนทุ่งโพวิทยา,เขากวางทอง,หนองฉาง,อุทัยธานี,มัธยมศึกษา
โรงเรียนบ่อยางวิทยาคม,บ่อยาง,สว่างอารมณ์,อุทัยธานี,มัธยมศึกษา
โรงเรียนบ้านทุ่งนาวิทยา,เขาบางแกรก,หนองฉาง,อุทัยธานี,มัธยมศึกษา
โรงเรียนบ้านไร่วิทยา,บ้านบึง,บ้านไร่,อุทัยธานี,มัธยมศึกษา
โรงเรียนพุทธมงคลวิทยา,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,มัธยมศึกษา
โรงเรียนร่องตาทีวิทยา,ลานสัก,ลานสัก,อุทัยธานี,มัธยมศึกษา
โรงเรียนลานสักวิทยา,ป่าอ้อ,ลานสัก,อุทัยธานี,มัธยมศึกษา
โรงเรียนวังหินวิทยาคม,วังหิน,บ้านไร่,อุทัยธานี,มัธยมศึกษา
โรงเรียนสมอทองปทีปพลีผลอุปถัมภ์,ทองหลาง,ห้วยคต,อุทัยธานี,มัธยมศึกษา
โรงเรียนสว่างอารมณ์วิทยาคม,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,มัธยมศึกษา
โรงเรียนหนองขาหย่างวิทยา,หนองขาหย่าง,หนองขาหย่าง,อุทัยธานี,มัธยมศึกษา
โรงเรียนหนองจอกประชานุสรณ์,หนองจอก,บ้านไร่,อุทัยธานี,มัธยมศึกษา
โรงเรียนหนองฉางวิทยา,หนองฉาง,หนองฉาง,อุทัยธานี,มัธยมศึกษา
โรงเรียนหนองเต่าวิทยา,หนองเต่า,เมืองอุทัยธานี,อุทัยธานี,มัธยมศึกษา
โรงเรียนห้วยคตพิทยาคม,สุขฤทัย,ห้วยคต,อุทัยธานี,มัธยมศึกษา
โรงเรียนอุทัยวิทยาคม,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,มัธยมศึกษา
โรงเรียนอนุบาลเมืองอุทัยธานี,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนวัดหนองตางู,ดอนขวาง,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนวัดโนนเหล็ก (อุทัยประชาสรรค์),โนนเหล็ก,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนอนุบาลวัดหนองเต่า,หนองเต่า,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนบ้านหนองโพธิ์,หนองไผ่แบน,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนวัดหนองแก,หนองแก,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนบ้านเกาะเทโพ,เกาะเทโพ,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนวัดอัมพวัน (ประชาชนูทิศ),เกาะเทโพ,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนวัดหาดทนง,หาดทนง,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนวัดสะพานหิน,หาดทนง,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนบ้านท่าซุง,ท่าซุง,เมืองอุทัยธานี,อุทัยธานี,
โรงเรียนบ้านดงยางใต้,ท่าซุง,เมืองอุทัยธานี,อุทัยธานี,
