name,subDistrict,district,province,level
โรงเรียนกุดข้าวปุ้นวิทยา,ข้าวปุ้น,กุดข้าวปุ้น,อุบลราชธานี,มัธยมศึกษา
โรงเรียนเกษมสีมาวิทยาคาร,เกษม,ตระการพืชผล,อุบลราชธานี,มัธยมศึกษา
โรงเรียนเก่าขามวิทยา,ศรีสุข,เขื่องใน,อุบลราชธานี,มัธยมศึกษา
โรงเรียนขุมคำวิทยาคาร,แก่งเค็ง,กุดข้าวปุ้น,อุบลราชธานี,มัธยมศึกษา
โรงเรียนเขมราฐพิทยาคม,เขมราฐ,เขมราฐ,อุบลราชธานี,มัธยมศึกษา
โรงเรียนเขื่องในพิทยาคาร,เขื่องใน,เขื่องใน,อุบลราชธานี,มัธยมศึกษา
โรงเรียนโขงเจียมวิทยาคม,โขงเจียม,โขงเจียม,อุบลราชธานี,มัธยมศึกษา
โรงเรียนโคกสว่างคุ้มวิทยานุสรณ์,โคกสว่าง,สำโรง,อุบลราชธานี,มัธยมศึกษา
โรงเรียนชีทวนวิทยาสามัคคี,ชีทวน,เขื่องใน,อุบลราชธานี,มัธยมศึกษา
โรงเรียนเชียงแก้วพิทยาคม,จิกเทิง,ตาลสุม,อุบลราชธานี,มัธยมศึกษา
โรงเรียนดงยางวิทยาคม,ดุมใหญ่,ม่วงสามสิบ,อุบลราชธานี,มัธยมศึกษา
โรงเรียนดงสว่างวิทยา,โนนสวรรค์,นาจะหลวย,อุบลราชธานี,มัธยมศึกษา
โรงเรียนดอนมดแดงวิทยาคม,เหล่าแดง,ดอนมดแดง,อุบลราชธานี,มัธยมศึกษา
โรงเรียนเดชอุดม,เมืองเดช,เดชอุดม,อุบลราชธานี,มัธยมศึกษา
โรงเรียนโดมประดิษฐ์วิทยา,โดมประดิษฐ์,น้ำยืน,อุบลราชธานี,มัธยมศึกษา
โรงเรียนตาลสุมพัฒนา,ตาลสุม,ตาลสุม,อุบลราชธานี,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ อุบลราชธานี,ขามใหญ่,เมืองอุบลราชธานี,อุบลราชธานี,มัธยมศึกษา
โรงเรียนท่าโพธิ์ศรีพิทยา,ท่าโพธิ์ศรี,เดชอุดม,อุบลราชธานี,มัธยมศึกษา
โรงเรียนทุ่งเทิงยิ่งวัฒนา,ทุ่งเทิง,เดชอุดม,อุบลราชธานี,มัธยมศึกษา
โรงเรียนทุ่งศรีอุดม,โคกชำแระ,ทุ่งศรีอุดม,อุบลราชธานี,มัธยมศึกษา
โรงเรียนนากระแซงศึกษา,นากระแซง,เดชอุดม,อุบลราชธานี,มัธยมศึกษา
โรงเรียนนาจะหลวย,นาจะหลวย,นาจะหลวย,อุบลราชธานี,มัธยมศึกษา
โรงเรียนนาโพธิ์วิทยา,นาโพธิ์,บุณฑริก,อุบลราชธานี,มัธยมศึกษา
โรงเรียนนาเยียศึกษา รัชมังคลาภิเษก,นาเยีย,นาเยีย,อุบลราชธานี,มัธยมศึกษา
โรงเรียนนารีนุกูล,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,มัธยมศึกษา
โรงเรียนนารีนุกูล 2,หัวเรือ,เมืองอุบลราชธานี,อุบลราชธานี,มัธยมศึกษา
โรงเรียนนาส่วงวิทยา,นาส่วง,เดชอุดม,อุบลราชธานี,มัธยมศึกษา
โรงเรียนน้ำยืนวิทยา,สีวิเชียร,น้ำยืน,อุบลราชธานี,มัธยมศึกษา
โรงเรียนโนนกุงวิทยาคม,โนนกุง,ตระการพืชผล,อุบลราชธานี,มัธยมศึกษา
โรงเรียนโนนสวางประชาสรรค์,โนนสวาง,กุดข้าวปุ้น,อุบลราชธานี,มัธยมศึกษา
โรงเรียนบ้านไทยวิทยาคม,บ้านไทย,เขื่องใน,อุบลราชธานี,มัธยมศึกษา
โรงเรียนบุณฑริกวิทยาคาร,โพนงาม,บุณฑริก,อุบลราชธานี,มัธยมศึกษา
โรงเรียนเบ็ญจะมะมหาราช,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,มัธยมศึกษา
โรงเรียนปทุมพิทยาคม,ปทุม,เมืองอุบลราชธานี,อุบลราชธานี,มัธยมศึกษา
โรงเรียนไผ่ใหญ่ศึกษา,ไผ่ใหญ่,ม่วงสามสิบ,อุบลราชธานี,มัธยมศึกษา
โรงเรียนพะลานวิทยาคม,พะลาน,นาตาล,อุบลราชธานี,มัธยมศึกษา
โรงเรียนพังเคนพิทยา,พังเคน,นาตาล,อุบลราชธานี,มัธยมศึกษา
โรงเรียนโพธิ์ไทรพิทยาคาร,โพธิ์ไทร,โพธิ์ไทร,อุบลราชธานี,มัธยมศึกษา
โรงเรียนม่วงสามสิบอัมพวันวิทยา,ม่วงสามสิบ,ม่วงสามสิบ,อุบลราชธานี,มัธยมศึกษา
