name,subDistrict,district,province,level
โรงเรียนบางเสด็จวิทยาคม,บางเสด็จ,ป่าโมก,อ่างทอง,มัธยมศึกษา
โรงเรียนปาโมกข์วิทยาภูมิ,ป่าโมก,ป่าโมก,อ่างทอง,มัธยมศึกษา
โรงเรียนไผ่วงวิทยา,ไผ่วง,วิเศษชัยชาญ,อ่างทอง,มัธยมศึกษา
โรงเรียนโพธิ์ทอง (จินดามณี),อ่างแก้ว,โพธิ์ทอง,อ่างทอง,มัธยมศึกษา
โรงเรียนโพธิ์ทองพิทยาคม,โคกพุทรา,โพธิ์ทอง,อ่างทอง,มัธยมศึกษา
โรงเรียนโยธินบูรณะ อ่างทอง,จำปาหล่อ,เมืองอ่างทอง,อ่างทอง,มัธยมศึกษา
โรงเรียนราชสถิตย์วิทยา,ราชสถิตย์,ไชโย,อ่างทอง,มัธยมศึกษา
โรงเรียนริ้วหว้าวิทยาคม,บ้านพราน,แสวงหา,อ่างทอง,มัธยมศึกษา
โรงเรียนวิเศษชัยชาญวิทยาคม,ไผ่จำศีล,วิเศษชัยชาญ,อ่างทอง,มัธยมศึกษา
โรงเรียนวิเศษไชยชาญ (ตันติวิทยาภูมิ),ไผ่จำศีล,วิเศษชัยชาญ,อ่างทอง,มัธยมศึกษา
โรงเรียนสตรีอ่างทอง,ศาลาแดง,เมืองอ่างทอง,อ่างทอง,มัธยมศึกษา
โรงเรียนสามโก้วิทยาคม,สามโก้,สามโก้,อ่างทอง,มัธยมศึกษา
โรงเรียนแสวงหาวิทยาคม,แสวงหา,แสวงหา,อ่างทอง,มัธยมศึกษา
โรงเรียนอ่างทองปัทมโรจน์วิทยาคม,บ้านอิฐ,เมืองอ่างทอง,อ่างทอง,มัธยมศึกษา
โรงเรียนกระทุ่มราย,บ้านรี,เมืองอ่างทอง,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนวัดน้ำพุ (น้ำพุพิทยาคาร),สี่ร้อย,วิเศษชัยชาญ,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนวัดปราสาท (นรสิงห์ประชาสรรค์),นรสิงห์,ป่าโมก,อ่างทอง,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดพายทอง,สายทอง,ป่าโมก,อ่างทอง,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดริ้วหว้า,บ้านพราน,แสวงหา,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนวัดวิเศษชัยชาญ,ไผ่จำศีล,วิเศษชัยชาญ,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนชุมชนวัดศีลขันธาราม (วิทยาคม),อ่างแก้ว,โพธิ์ทอง,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 6 (ฉบับราษฎร์อุปถัมภ์),บางเสด็จ,ป่าโมก,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนบ้านชะไว (ชวลิตวิทยาคาร),ชะไว,ไชโย,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนบ้านดอนกร่าง (ฉากราษฎร์บำรุง),บ้านพราน,แสวงหา,อ่างทอง,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านดอนตาวง,อบทม,สามโก้,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนบ้านน้ำผึ้ง,บ้านอิฐ,เมืองอ่างทอง,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนบ้านไผ่หมูขวิด (พงษ์ผลประสาทวิทยา),ยี่ล้น,วิเศษชัยชาญ,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนบ้านศาลาดิน (สุวรรณประชานุกูล),ศาลเจ้าโรงทอง,วิเศษชัยชาญ,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนบ้านหนองถ้ำ,มงคลธรรมนิมิต,สามโก้,อ่างทอง,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนบ้านหนองเสือ,สีบัวทอง,แสวงหา,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนบ้านห้วยคล้า,สาวร้องไห้,วิเศษชัยชาญ,อ่างทอง,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนประสิทธิวิทยาฯ,ห้วยไผ่,แสวงหา,อ่างทอง,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนพวงทองอุปถัมภ์,แสวงหา,แสวงหา,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนวัดกำแพง,หลักฟ้า,ไชโย,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนวัดเกษทอง,สามโก้,สามโก้,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนวัดแก้วกระจ่าง,สีบัวทอง,แสวงหา,อ่างทอง,อนุบาล-มัธยมศึกษาตอนต้น
โรงเรียนวัดข่อย,โพธิ์รังนก,โพธิ์ทอง,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนวัดขุมทอง,ไผ่จำศีล,วิเศษชัยชาญ,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนวัดคลองพูล (บุญส่งอนุสรณ์),บางจัก,วิเศษชัยชาญ,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนวัดคลองสำโรง,หลักแก้ว,วิเศษชัยชาญ,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนวัดคำหยาด,คำหยาด,โพธิ์ทอง,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนวัดโคกพุทรา,โคกพุทรา,โพธิ์ทอง,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนวัดโคศุภราช,คลองวัว,เมืองอ่างทอง,อ่างทอง,อนุบาล-ประถมศึกษา
โรงเรียนวัดงิ้วราย,ยางซ้าย,โพธิ์ทอง,อ่างทอง,อนุบาล-มัธยมศึกษาตอนต้น
