name,subDistrict,district,province,level
โรงเรียนขุนตาลวิทยาคม,ป่าตาล,ขุนตาล,เชียงราย,มัธยมศึกษา
โรงเรียนจันจว้าวิทยาคม,จันจว้าใต้,แม่จัน,เชียงราย,มัธยมศึกษา
โรงเรียนเชียงของวิทยาคม,เวียง,เชียงของ,เชียงราย,มัธยมศึกษา
โรงเรียนเชียงแสนวิทยาคม,เวียง,เชียงแสน,เชียงราย,มัธยมศึกษา
โรงเรียนดอนชัยวิทยาคม,ป่าอ้อดอนชัย,เมืองเชียงราย,เชียงราย,มัธยมศึกษา
โรงเรียนดอนศิลาผางามวิทยาคม,ผางาม,เวียงชัย,เชียงราย,มัธยมศึกษา
โรงเรียนดอยงามวิทยาคม,ดอยงาม,พาน,เชียงราย,มัธยมศึกษา
โรงเรียนดอยหลวง รัชมังคลาภิเษก,โชคชัย,ดอยหลวง,เชียงราย,มัธยมศึกษา
โรงเรียนดำรงราษฎร์สงเคราะห์,เวียง,เมืองเชียงราย,เชียงราย,มัธยมศึกษา
โรงเรียนเตรียมอุดมศึกษาพัฒนาการ เชียงราย,รอบเวียง,เมืองเชียงราย,เชียงราย,มัธยมศึกษา
โรงเรียนเทิงวิทยาคม,เวียง,เทิง,เชียงราย,มัธยมศึกษา
โรงเรียนนครวิทยาคม,สันมะเค็ด,พาน,เชียงราย,มัธยมศึกษา
โรงเรียนบ้านแซววิทยาคม,บ้านแซว,เชียงแสน,เชียงราย,มัธยมศึกษา
โรงเรียนบุญเรืองวิทยาคม,บุญเรือง,เชียงของ,เชียงราย,มัธยมศึกษา
โรงเรียนปล้องวิทยาคม,ปล้อง,เทิง,เชียงราย,มัธยมศึกษา
โรงเรียนป่าแดดวิทยาคม,ป่าแดด,ป่าแดด,เชียงราย,มัธยมศึกษา
โรงเรียนพญาเม็งราย,เม็งราย,พญาเม็งราย,เชียงราย,มัธยมศึกษา
โรงเรียนพานพิทยาคม,เมืองพาน,พาน,เชียงราย,มัธยมศึกษา
โรงเรียนพานพิเศษพิทยา,สันติสุข,พาน,เชียงราย,มัธยมศึกษา
โรงเรียนเม็งรายมหาราชวิทยาคม,นางแล,เมืองเชียงราย,เชียงราย,มัธยมศึกษา
โรงเรียนแม่จันวิทยาคม,ป่าซาง,แม่จัน,เชียงราย,มัธยมศึกษา
โรงเรียนแม่เจดีย์วิทยาคม,แม่เจดีย์,เวียงป่าเป้า,เชียงราย,มัธยมศึกษา
โรงเรียนแม่ต๋ำตาดควันวิทยาคม,ตาดควัน,พญาเม็งราย,เชียงราย,มัธยมศึกษา
โรงเรียนแม่ลาววิทยาคม,ดงมะดะ,แม่ลาว,เชียงราย,มัธยมศึกษา
โรงเรียนแม่สรวยวิทยาคม,แม่สรวย,แม่สรวย,เชียงราย,มัธยมศึกษา
โรงเรียนแม่สายประสิทธิ์ศาสตร์,เวียงพางคำ,แม่สาย,เชียงราย,มัธยมศึกษา
โรงเรียนแม่อ้อวิทยาคม,แม่อ้อ,พาน,เชียงราย,มัธยมศึกษา
โรงเรียนไม้ยาวิทยาคม,ไม้ยา,พญาเม็งราย,เชียงราย,มัธยมศึกษา
โรงเรียนยางฮอมวิทยาคม,ยางฮอม,ขุนตาล,เชียงราย,มัธยมศึกษา
โรงเรียนวัดถ้ำปลาวิทยาคม,โป่งงาม,แม่สาย,เชียงราย,มัธยมศึกษา
