name,subDistrict,district,province,level
โรงเรียนกาวิละวิทยาลัย,ท่าศาลา,เมืองเชียงใหม่,เชียงใหม่,มัธยมศึกษา
โรงเรียนจอมทอง,ข่วงเปา,จอมทอง,เชียงใหม่,มัธยมศึกษา
โรงเรียนเชียงดาววิทยาคม,เชียงดาว,เชียงดาว,เชียงใหม่,มัธยมศึกษา
โรงเรียนไชยปราการ,หนองบัว,ไชยปราการ,เชียงใหม่,มัธยมศึกษา
โรงเรียนดอยเต่าวิทยาคม,ท่าเดื่อ,ดอยเต่า,เชียงใหม่,มัธยมศึกษา
โรงเรียนดอยสะเก็ดวิทยาคม,เชิงดอย,ดอยสะเก็ด,เชียงใหม่,มัธยมศึกษา
โรงเรียนเทพศิรินทร์ เชียงใหม่,น้ำบ่อหลวง,สันป่าตอง,เชียงใหม่,มัธยมศึกษา
โรงเรียนนวมินทราชูทิศ พายัพ,ดอนแก้ว,แม่ริม,เชียงใหม่,มัธยมศึกษา
โรงเรียนแม่วางวิทยาคม,ดอนเปา,แม่วาง,เชียงใหม่,มัธยมศึกษา
โรงเรียนฝางชนูปถัมภ์,สันทราย,ฝาง,เชียงใหม่,มัธยมศึกษา
โรงเรียนพร้าววิทยาคม,เขื่อนผาก,พร้าว,เชียงใหม่,มัธยมศึกษา
โรงเรียนมัธยมกัลยาณิวัฒนาเฉลิมพระเกียรติ,บ้านจันทร์,กัลยาณิวัฒนา,เชียงใหม่,มัธยมศึกษา
โรงเรียนแม่แจ่ม,ช่างเคิ่ง,แม่แจ่ม,เชียงใหม่,มัธยมศึกษา
โรงเรียนแม่ตื่นวิทยาคม,แม่ตื่น,อมก๋อย,เชียงใหม่,มัธยมศึกษา
โรงเรียนแม่แตง,สันมหาพน,แม่แตง,เชียงใหม่,มัธยมศึกษา
โรงเรียนแม่ริมวิทยาคม,ริมใต้,แม่ริม,เชียงใหม่,มัธยมศึกษา
โรงเรียนแม่หอพระวิทยาคม,แม่หอพระ,แม่แตง,เชียงใหม่,มัธยมศึกษา
โรงเรียนแม่ออนวิทยาลัย,ออนกลาง,แม่ออน,เชียงใหม่,มัธยมศึกษา
โรงเรียนยุพราชวิทยาลัย,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,มัธยมศึกษา
โรงเรียนวัฒโนทัยพายัพ,หายยา,เมืองเชียงใหม่,เชียงใหม่,มัธยมศึกษา
โรงเรียนเวียงแหงวิทยาคม,เมืองแหง,เวียงแหง,เชียงใหม่,มัธยมศึกษา
โรงเรียนสองแคววิทยาคม,ดอยหล่อ,ดอยหล่อ,เชียงใหม่,มัธยมศึกษา
โรงเรียนสะเมิงพิทยาคม,สะเมิงใต้,สะเมิง,เชียงใหม่,มัธยมศึกษา
โรงเรียนสันกำแพง,ทรายมูล,สันกำแพง,เชียงใหม่,มัธยมศึกษา
โรงเรียนสันติสุข,สันติสุข,ดอยหล่อ,เชียงใหม่,มัธยมศึกษา
โรงเรียนสันทรายวิทยาคม,หนองหาร,สันทราย,เชียงใหม่,มัธยมศึกษา
โรงเรียนสันป่าตองวิทยาคม,ยุหว่า,สันป่าตอง,เชียงใหม่,มัธยมศึกษา
โรงเรียนสันป่ายางวิทยาคม,สันป่ายาง,แม่แตง,เชียงใหม่,มัธยมศึกษา
โรงเรียนสารภีพิทยาคม,ยางเนิ้ง,สารภี,เชียงใหม่,มัธยมศึกษา
โรงเรียนหอพระ,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,มัธยมศึกษา
โรงเรียนหางดงรัฐราษฎร์อุปถัมภ์,หางดง,หางดง,เชียงใหม่,มัธยมศึกษา
โรงเรียนอมก๋อยวิทยาคม,อมก๋อย,อมก๋อย,เชียงใหม่,มัธยมศึกษา
โรงเรียนอรุโณทัยวิทยาคม,เมืองนะ,เชียงดาว,เชียงใหม่,มัธยมศึกษา
โรงเรียนฮอดพิทยาคม,หางดง,ฮอด,เชียงใหม่,มัธยมศึกษา
โรงเรียนคำเที่ยงอนุสสรณ์,ช้างม่อย,เมืองเชียงใหม่,เชียงใหม่,ประถมศึกษา
โรงเรียนเจ้าพ่อหลวงอุปถัมภ์ 1,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนชลประทานผาแตก,ลวงเหนือ,ดอยสะเก็ด,เชียงใหม่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านบวกครกน้อย,หนองป่าครั่ง,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวัดท่าเดื่อ,สันผีเสื้อ,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนท่าศาลา,ท่าศาลา,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนทาเหนือวิทยา,ทาเหนือ,แม่ออน,เชียงใหม่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเทพเสด็จวิทยา,เทพเสด็จ,ดอยสะเก็ด,เชียงใหม่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกอสะเลียม,บวกค้าง,สันกำแพง,เชียงใหม่,ประถมศึกษา
โรงเรียนบ้านเชิงดอย (ดอยสะเก็ดศึกษา),เชิงดอย,ดอยสะเก็ด,เชียงใหม่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเชิงดอยสุเทพ,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแช่ช้าง (เทพนานุกูล),แช่ช้าง,สันกำแพง,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนปิน,แม่เหียะ,เมืองเชียงใหม่,เชียงใหม่,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านดอนปีน,แช่ช้าง,สันกำแพง,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านตลาดขี้เหล็ก,แม่โป่ง,ดอยสะเก็ด,เชียงใหม่,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านท่าหลุกสันทราย,สันผีเสื้อ,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบวกค้าง,บวกค้าง,สันกำแพง,เชียงใหม่,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านบ่อสร้างนรากรประสาท,ต้นเปา,สันกำแพง,เชียงใหม่,ประถมศึกษา
โรงเรียนบ้านบ่อหิน,ตลาดขวัญ,ดอยสะเก็ด,เชียงใหม่,ประถมศึกษา
โรงเรียนบ้านปงป่าเอื้อง,แม่ปูคา,สันกำแพง,เชียงใหม่,ประถมศึกษา
โรงเรียนบ้านป่าขุย,สันปูเลย,ดอยสะเก็ด,เชียงใหม่,ประถมศึกษา
โรงเรียนบ้านปางแดง,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปางน้ำถุ,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่างิ้ว,สง่าบ้าน,ดอยสะเก็ด,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าป้อง,ป่าป้อง,ดอยสะเก็ด,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าไม้แดง,ป่าป้อง,ดอยสะเก็ด,เชียงใหม่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านป่าสักงาม,ลวงเหนือ,ดอยสะเก็ด,เชียงใหม่,ประถมศึกษา
โรงเรียนบ้านป่าเสร้า,สันปูเลย,ดอยสะเก็ด,เชียงใหม่,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านป่าเหมือด,สำราญราษฎร์,ดอยสะเก็ด,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโป่งกุ่ม,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโป่งน้อย,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านมอญ,สันกลาง,สันกำแพง,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ดอกแดง,เชิงดอย,ดอยสะเก็ด,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ปูคา,แม่ปูคา,สันกำแพง,เชียงใหม่,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่หวาน,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่เหียะสามัคคี,แม่เหียะ,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ฮ้อยเงิน,แม่ฮ้อยเงิน,ดอยสะเก็ด,เชียงใหม่,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านร้องขี้เหล็ก,เชิงดอย,ดอยสะเก็ด,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านลวงเหนือ,ลวงเหนือ,ดอยสะเก็ด,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสันกำแพง,สันกำแพง,สันกำแพง,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสันต้นม่วงเหนือ,สำราญราษฎร์,ดอยสะเก็ด,เชียงใหม่,ประถมศึกษา
โรงเรียนบ้านสันทราย,ลวงเหนือ,ดอยสะเก็ด,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองโค้ง,ต้นเปา,สันกำแพง,เชียงใหม่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยทราย,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านออนกลาง,ออนกลาง,แม่ออน,เชียงใหม่,ประถมศึกษา
โรงเรียนบ้านออนหลวย,ออนเหนือ,แม่ออน,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนพุทธิโศภน,พระสิงห์,เมืองเชียงใหม่,เชียงใหม่,ประถมศึกษา
โรงเรียนแม่คือวิทยา,แม่คือ,ดอยสะเก็ด,เชียงใหม่,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนแม่ตะไคร้,ทาเหนือ,แม่ออน,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนแม่โป่งประชาสามัคคี,แม่โป่ง,ดอยสะเก็ด,เชียงใหม่,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนวัดข่วงสิงห์,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–ประถมศึกษา
โรงเรียนวัดขะจาว,ฟ้าฮ่าม,เมืองเชียงใหม่,เชียงใหม่,อนุบาล–ประถมศึกษา
