name,subDistrict,district,province,level
โรงเรียนแก่งกระจานวิทยา,วังจันทร์,แก่งกระจาน,เพชรบุรี,มัธยมศึกษา
โรงเรียนเขาย้อยวิทยา,เขาย้อย,เขาย้อย,เพชรบุรี,มัธยมศึกษา
โรงเรียนคงคาราม,บ้านหม้อ,เมืองเพชรบุรี,เพชรบุรี,มัธยมศึกษา
โรงเรียนชะอำคุณหญิงเนื่องบุรี,ชะอำ,ชะอำ,เพชรบุรี,มัธยมศึกษา
โรงเรียนดอนยางวิทยา,ดอนยาง,เมืองเพชรบุรี,เพชรบุรี,มัธยมศึกษา
โรงเรียนโตนดหลวงวิทยา,บางเก่า,ชะอำ,เพชรบุรี,มัธยมศึกษา
โรงเรียนท่ายางวิทยา,ท่าคอย,ท่ายาง,เพชรบุรี,มัธยมศึกษา
โรงเรียนบางจานวิทยา,บางจาน,เมืองเพชรบุรี,เพชรบุรี,มัธยมศึกษา
โรงเรียนบางตะบูนวิทยา,บางตะบูน,บ้านแหลม,เพชรบุรี,มัธยมศึกษา
โรงเรียนบ้านลาดวิทยา,บ้านลาด,บ้านลาด,เพชรบุรี,มัธยมศึกษา
โรงเรียนบ้านแหลมวิทยา,บ้านแหลม,บ้านแหลม,เพชรบุรี,มัธยมศึกษา
โรงเรียนเบญจมเทพอุทิศจังหวัดเพชรบุรี,คลองกระแชง,เมืองเพชรบุรี,เพชรบุรี,มัธยมศึกษา
โรงเรียนป่าเด็งวิทยา,ป่าเด็ง,แก่งกระจาน,เพชรบุรี,มัธยมศึกษา
โรงเรียนพรหมานุสรณ์จังหวัดเพชรบุรี,คลองกระแชง,เมืองเพชรบุรี,เพชรบุรี,มัธยมศึกษา
โรงเรียนโยธินบูรณะ เพชรบุรี,สระพัง,เขาย้อย,เพชรบุรี,มัธยมศึกษา
โรงเรียนวชิรธรรมโศภิต,บางครก,บ้านแหลม,เพชรบุรี,มัธยมศึกษา
โรงเรียนวัดจันทราวาส (ศุขประสารราษฎร์),ท่าราบ,เมืองเพชรบุรี,เพชรบุรี,มัธยมศึกษา
โรงเรียนวิทยาศาสตร์จุฬาภรณราชวิทยาลัย เพชรบุรี,เขาใหญ่,ชะอำ,เพชรบุรี,มัธยมศึกษา
