name,subDistrict,district,province,level
โรงเรียนกาญจนาภิเษกวิทยาลัย เพชรบูรณ์,น้ำชุน,หล่มสัก,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนแคมป์สนวิทยาคม,แคมป์สน,เขาค้อ,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนโคกปรงวิทยาคม,โคกปรง,วิเชียรบุรี,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนชนแดนวิทยาคม,ชนแดน,ชนแดน,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนซับบอนวิทยาคม,กันจุ,บึงสามพัน,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนซับสมบูรณ์วิทยาคม,ซับสมบูรณ์,วิเชียรบุรี,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนดงขุยวิทยาคม,ดงขุย,ชนแดน,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนติ้ววิทยาคม,บ้านติ้ว,หล่มสัก,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนท่าด้วงพิทยาคม,ท่าด้วง,หนองไผ่,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนนาเฉลียงพิทยาคม,นาเฉลียง,หนองไผ่,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนนาสนุ่นวิทยาคม,นาสนุ่น,ศรีเทพ,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนน้ำร้อนวิทยาคม,น้ำร้อน,วิเชียรบุรี,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนน้ำหนาววิทยาคม,น้ำหนาว,น้ำหนาว,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนนิยมศิลป์อนุสรณ์,ท่าโรง,วิเชียรบุรี,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนเนินพิทยาคม,บ้านโคก,เมืองเพชรบูรณ์,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนบึงสามพันวิทยาคม,ซับสมอทอด,บึงสามพัน,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนผาแดงวิทยาคม,ปากช่อง,หล่มสัก,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนผาเมืองวิทยาคม,หนองไขว่,หล่มสัก,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนพัชรพิทยาคม,นาป่า,เมืองเพชรบูรณ์,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนพุขามครุฑมณีอุทิศ,พุขาม,วิเชียรบุรี,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนเพชรบูรณ์วิทยา,น้ำร้อน,เมืองเพชรบูรณ์,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนเพชรพิทยาคม,ในเมือง,เมืองเพชรบูรณ์,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนเพชรละครวิทยา,เพชรละคร,หนองไผ่,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนเมืองกลางวิทยาคม,บ้านกลาง,หล่มสัก,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนเมืองราดวิทยาคม,นาซำ,หล่มเก่า,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนเมืองศรีเทพ,ศรีเทพ,ศรีเทพ,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนร่มเกล้าเขาค้อ เพชรบูรณ์,เขาค้อ,เขาค้อ,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนวังโป่งพิทยาคม,ท้ายดง,วังโป่ง,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนวังโป่งศึกษา,วังโป่ง,วังโป่ง,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนวังพิกุลพิทยาคม,วังพิกุล,บึงสามพัน,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนวังใหญ่วิทยาคม,วังใหญ่,วิเชียรบุรี,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนวิทยานุกูลนารี,ในเมือง,เมืองเพชรบูรณ์,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนศรีจันทร์วิทยาคม รัชมังคลาภิเษก,ท่าอิบุญ,หล่มสัก,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนศรีเทพประชาสรรค์,สระกรวด,ศรีเทพ,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนศรีมงคลวิทยาคม,ศรีมงคล,บึงสามพัน,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนสวนกุหลาบวิทยาลัย เพชรบูรณ์,ท่าพล,เมืองเพชรบูรณ์,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนหนองไผ่ ในพระสังฆราชูปถัมภ์,หนองไผ่,หนองไผ่,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนหล่มเก่าพิทยาคม,หล่มเก่า,หล่มเก่า,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนหล่มสักวิทยาคม,หล่มสัก,หล่มสัก,เพชรบูรณ์,มัธยมศึกษา
โรงเรียนการไฟฟ้าส่วนภูมิภาคสงเคราะห์ 2 (บ้านพนานิคม),บ้านโตก,เมืองเพชรบูรณ์,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนคลองห้วยนาพัฒนาการ,ชนแดน,ชนแดน,เพชรบูรณ์,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านน้ำร้อน,น้ำร้อน,เมืองเพชรบูรณ์,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านวังกระดาษเงิน,ท้ายดง,วังโป่ง,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนตาดหมอกวิทยา,นาป่า,เมืองเพชรบูรณ์,เพชรบูรณ์,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนธาราคีรี,ลาดแค,ชนแดน,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนน้ำอ้อมประชาสรรค์,วังหิน,วังโป่ง,เพชรบูรณ์,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกกจั่น,พุทธบาท,ชนแดน,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกกไทร,นาป่า,เมืองเพชรบูรณ์,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกงกะยาง,บ้านโคก,เมืองเพชรบูรณ์,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนบ้าน กม.2,วังชมภู,เมืองเพชรบูรณ์,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนบ้าน กม.28,ดงขุย,ชนแดน,เพชรบูรณ์,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกล้วย,บ้านกล้วย,ชนแดน,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุฏิพระ,ท่าข้าม,ชนแดน,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขมวด,นายม,เมืองเพชรบูรณ์,เพชรบูรณ์,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเขาขาด,ตะเบาะ,เมืองเพชรบูรณ์,เพชรบูรณ์,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเขาคณฑา,บ้านกล้วย,ชนแดน,เพชรบูรณ์,อนุบาล–ประถมศึกษา
