name,subDistrict,district,province,level
โรงเรียนจักรพงษ์บ้านห้วยเทียน,ปากชม,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านเชียงกลม,เชียงกลม,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านท่าสะอาด,ท่าสะอาด,นาด้วง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านนาด้วง,นาด้วง,นาด้วง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านนาบอน,นาซ่าว,เชียงคาน,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านนาอ้อ,นาอ้อ,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านปากชม,ปากชม,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านปากห้วย,หนองผือ,ท่าลี่,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านโสกวิทยาคาร,เขาแก้ว,เชียงคาน,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านอาฮี,อาฮี,ท่าลี่,เลย,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนไทยรัฐวิทยา 96 (ชุมชนบ้านธาตุ),ธาตุ,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกกชุมแสง,นาโป่ง,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกกดู่,กกดู่,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกกทอง,กกทอง,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกลาง,ปากตม,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกอไร่ใหญ่,เสี้ยว,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านก้างปลา,ชัยพฤกษ์,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกำพี้,กกดู่,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแก่งปลาปก,ชมเจริญ,ปากชม,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแก่งมี้,นาซ่าว,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแก้วเมธี,นาด้วง,นาด้วง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขอนแก่น,หนองผือ,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขอนแก่นหนองบอน,นาโป่ง,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านคกงิ้ว,ปากตม,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคกไผ่,ปากชม,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคกมาด,เชียงคาน,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคกเลา,บุฮม,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคกเว้า,หาดคัมภีร์,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคอนสา,เชียงกลม,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกใหญ่,โคกใหญ่,ท่าลี่,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านชมน้อย,ชมเจริญ,ปากชม,เลย,อนุบาล–ประถมศึกษา
"โรงเรียนบ้านเชียงคาน ""วิจิตรวิทยา""",เชียงคาน,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านตาดซ้อ,เขาแก้ว,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านติ้ว,นาแขม,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านติ้วน้อย,นาโป่ง,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านท่าดีหมี,ปากตม,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าบม,เขาแก้ว,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่ามะนาว,นาอ้อ,เมืองเลย,เลย,ประถมศึกษา
โรงเรียนบ้านท่าลี่,ท่าลี่,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าสวรรค์,ท่าสวรรค์,นาด้วง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านธาตุวิทยา,ธาตุ,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนากระเซ็ง,อาฮี,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาแขม,นาแขม,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาค้อ,ปากชม,ปากชม,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาโคก,ศรีสองรัก,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาซ่าว,นาซ่าว,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาดอกคำ,นาดอกคำ,นาด้วง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาดินดำ,นาดินดำ,เมืองเลย,เลย,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาเบน,เขาแก้ว,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาป่าหนาด,เขาแก้ว,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาโป่ง,นาโป่ง,เมืองเลย,เลย,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาโม้,หาดคัมภีร์,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาสีสำนักงานสลากกินแบ่งสงเคราะห์ที่ 59,จอมศรี,เชียงคาน,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านน้ำกระโทม,ท่าลี่,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านน้ำคิว,เสี้ยว,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านน้ำแคม,น้ำแคม,ท่าลี่,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านน้ำพร,ปากตม,เชียงคาน,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านน้ำภู,เมือง,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านน้ำมี,น้ำทูน,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านน้ำสวยภักดี,ท่าสะอาด,นาด้วง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านน้ำสวยห้วยปลาดุก,นาดอกคำ,นาด้วง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านบวกอ่าง,โคกใหญ่,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบุฮม,บุฮม,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปากเนียม,ห้วยพิชัย,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปากปัด,ห้วยพิชัย,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปากมั่งห้วยทับช้าง,หาดคัมภีร์,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปากยาง,น้ำแคม,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปากหมาก,ศรีสองรัก,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าข้าวหลาม,นาโป่ง,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปางคอม,เชียงกลม,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโป่ง,นาแขม,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านผาแบ่น,บุฮม,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านผาพอด,ธาตุ,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไผ่โทน,กกดู่,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเพียซำพุวิทยา,น้ำสวย,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเพียงหลวง 18 ในทูลกระหม่อมหญิงอุบลรัตนราชกัญญา สิริวัฒนาพรรณวดี,ปากตม,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโพน,นาซ่าว,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโพนทอง,เชียงกลม,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโพนป่าแดง,เสี้ยว,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโพนสว่างวังเย็น,นาดอกคำ,นาด้วง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านภูสวรรค์,เสี้ยว,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเมี่ยง,หนองผือ,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านยาง,ท่าลี่,ท่าลี่,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านร่องไผ่,โคกใหญ่,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านไร่ทาม,นาอาน,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเลิง,ห้วยบ่อซืน,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังขาม,ท่าลี่,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังโป่งท่าวังแคน,ศรีสองรัก,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังผา,ห้วยบ่อซืน,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสงเปือย,ธาตุ,เชียงคาน,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านสงาว,ห้วยพิชัย,ปากชม,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านสวนกล้วย,กกทอง,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสะอาดลายเหนือ,น้ำสวย,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านส้าน,น้ำหมาน,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านสูบ,น้ำสวย,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านเสี้ยว,เสี้ยว,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแสนสำราญ,จอมศรี,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองดอกบัว,น้ำสวย,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองบง,น้ำทูน,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองปกติ,อาฮี,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองผำ,นาดินดำ,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองผือ,หนองผือ,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหนองหญ้าไซ,นาดินดำ,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยกระทิง,กกทอง,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยขอบห้วยเหียม,หาดคัมภีร์,ปากชม,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยไค้,โคกใหญ่,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยด้าย,น้ำแคม,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยเดื่อ,น้ำทูน,ท่าลี่,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยตาด,นาดอกคำ,นาด้วง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยโตก,นาโป่ง,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยทราย,นาแขม,เมืองเลย,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยนา,เชียงกลม,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยบ่อซืน,ห้วยบ่อซืน,ปากชม,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยผักกูด,เชียงกลม,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยพอด,ธาตุ,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยพิชัย,ห้วยพิชัย,ปากชม,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านห้วยม่วง,นาดินดำ,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยลวงไซ,น้ำหมาน,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยสีเสียด,น้ำหมาน,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยหวาย,กกดู่,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยหินขาว,ห้วยพิชัย,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยหินซาน้ำอ้อมพรหมมานุสรณ์,ธาตุ,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยเหล็ก,กกดู่,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านห้วยอาลัย,ชมเจริญ,ปากชม,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านหัวฝาย,ชัยพฤกษ์,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหาดคัมภีร์,หาดคัมภีร์,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหาดทรายขาวผามุม,หาดทรายขาว,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหาดเบี้ย,ปากชม,ปากชม,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านหินตั้ง,จอมศรี,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแหล่งควาย,นาอาน,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านใหม่,นาซ่าว,เชียงคาน,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านอุมุง,บุฮม,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนภิรมย์ภักดีบ้านห้วยสีดา,หาดทรายขาว,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนมโนบุเรศบำรุงการ,น้ำหมาน,เมืองเลย,เลย,ประถมศึกษา
โรงเรียนเมืองเลย,กุดป่อง,เมืองเลย,เลย,ประถมศึกษา
โรงเรียนร่มเกล้าบ้านชมเจริญ,ชมเจริญ,ปากชม,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนห้วยซวกคกเลาใต้,บุฮม,เชียงคาน,เลย,อนุบาล–มัธยมศึกษาตอนต้น
"โรงเรียนอนุบาลเชียงคาน ""ปทุมมาสงเคราะห์""",เชียงคาน,เชียงคาน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนอนุบาลเลย,กุดป่อง,เมืองเลย,เลย,อนุบาล–ประถมศึกษา
โรงเรียนโคกสง่า,ผาอินทร์แปลง,เอราวัณ,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเจียรวนนท์อุทิศ 3,โนนป่าซาง,ผาขาว,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนเจียรวนนท์อุทิศ 4 (บ้านหนองหญ้าปล้อง),หนองงิ้ว,วังสะพุง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านทรายขาว,ทรายขาว,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านผานกเค้า,ผานกเค้า,ภูกระดึง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านหนองคัน,หนองคัน,ภูหลวง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนวังสะพุง,วังสะพุง,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนหนองหิน,หนองหิน,หนองหิน,เลย,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 49 (บ้านวงเวียน),ภูกระดึง,ภูกระดึง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกกเกลี้ยง,ผาบิ้ง,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกกซ้อ,ทรายขาว,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกกบก,หนองงิ้ว,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกุดแกศรีสงคราม,ผาน้อย,วังสะพุง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกุดโง้งวังเดื่อ,ปากปวน,วังสะพุง,เลย,ประถมศึกษา
โรงเรียนบ้านกุดลันน้อยคีรี,โคกขมิ้น,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแก่งศรีภูมิ,แก่งศรีภูมิ,ภูหลวง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแก่งหินกกสะทอน,เขาหลวง,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านขอนแก่นโนนสวรรค์,เขาหลวง,วังสะพุง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านขอนยาง,โคกขมิ้น,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกขมิ้น,โคกขมิ้น,วังสะพุง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโคกผักหวาน,ผาขาว,ผาขาว,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกแฝก,ผาน้อย,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกมน,ผาน้อย,วังสะพุง,เลย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโคกศรีเจริญ,เลยวังไสย์,ภูหลวง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโคกสว่างป่าไม้งาม,โคกขมิ้น,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซำกกค้อ,โนนปอแดง,ผาขาว,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซำไคร้,โนนปอแดง,ผาขาว,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซำนกจิบ,โคกขมิ้น,วังสะพุง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซำบ่าง,ห้วยส้ม,ภูกระดึง,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซำบุ่น,ทรัพย์ไพวัลย์,เอราวัณ,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซำพร้าว,บ้านเพิ่ม,ผาขาว,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซำม่วง,ผาสามยอด,เอราวัณ,เลย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านซำไฮ,ผานกเค้า,ภูกระดึง,เลย,อนุบาล–ประถมศึกษา
