name,subDistrict,district,province,level
โรงเรียนถิ่นโอภาสวิทยา,บ้านถิ่น,เมืองแพร่,แพร่,มัธยมศึกษา
โรงเรียนท่าข้ามวิทยาคม,ท่าข้าม,เมืองแพร่,แพร่,มัธยมศึกษา
โรงเรียนนารีรัตน์จังหวัดแพร่,ในเวียง,เมืองแพร่,แพร่,มัธยมศึกษา
โรงเรียนบ้านกาศประชานุเคราะห์,บ้านกาศ,สูงเม่น,แพร่,มัธยมศึกษา
โรงเรียนพิริยาลัยจังหวัดแพร่,ในเวียง,เมืองแพร่,แพร่,มัธยมศึกษา
โรงเรียนม่วงไข่พิทยาคม,หนองม่วงไข่,หนองม่วงไข่,แพร่,มัธยมศึกษา
โรงเรียนเมืองแพร่,ป่าแดง,เมืองแพร่,แพร่,มัธยมศึกษา
โรงเรียนร้องกวางอนุสรณ์,ร้องเข็ม,ร้องกวาง,แพร่,มัธยมศึกษา
โรงเรียนลองวิทยา,ห้วยอ้อ,ลอง,แพร่,มัธยมศึกษา
โรงเรียนวังชิ้นวิทยา,วังชิ้น,วังชิ้น,แพร่,มัธยมศึกษา
โรงเรียนวิไลเกียรติอุปถัมภ์,เด่นชัย,เด่นชัย,แพร่,มัธยมศึกษา
โรงเรียนเวียงเทพวิทยา,ห้วยหม้าย,สอง,แพร่,มัธยมศึกษา
โรงเรียนสรอยเสรีวิทยา,สรอย,วังชิ้น,แพร่,มัธยมศึกษา
โรงเรียนสองพิทยาคม,บ้านหนุน,สอง,แพร่,มัธยมศึกษา
โรงเรียนสูงเม่นชนูปถัมภ์,ดอนมูล,สูงเม่น,แพร่,มัธยมศึกษา
โรงเรียนห้วยม้าวิทยาคม,ห้วยม้า,เมืองแพร่,แพร่,มัธยมศึกษา
โรงเรียนชุมชนบ้านกลาง (สนิทวิทยาการ),บ้านกลาง,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านทุ่งศรี (ราษฎร์รังสฤษฎ์),ทุ่งศรี,ร้องกวาง,แพร่,ประถมศึกษา
โรงเรียนชุมชนบ้านร้องเข็ม (ร้องเข็มวิทยาคาร),ร้องเข็ม,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านหนุนเหนือ (แสงศรีวิทยา),บ้านหนุน,สอง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านเหมืองหม้อ (เหมืองหม้อสามัคคี),เหมืองหม้อ,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 31 (ทุ่งน้าวพุทธิมาศึกษากร),ทุ่งน้าว,สอง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกาซ้อง,เหมืองหม้อ,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านคุ้ม (ประสารราษฎร์วิทยา),บ้านกลาง,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดงเจริญ (วงค์ประชานุกูล),หัวเมือง,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดง (ธรรมาราษฎร์นุสรณ์),สวนเขื่อน,เมืองแพร่,แพร่,ประถมศึกษา
โรงเรียนบ้านดอนแก้ว (อาสาพัฒนาอินทรราษฎร์วิทยา),ห้วยหม้าย,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนชัย (ประชาอุทิศ),สะเอียบ,สอง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านดอนชุม (พิริยเทพวงศ์อนุสรณ์),แม่ยางร้อง,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านดอนดี (ประชานุกูล),กาญจนา,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแดนชุมพล (ประชานุกูล),แดนชุมพล,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านต้นหนุน (หนุนราษฎร์สามัคคี),ห้วยหม้าย,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเตาปูน (พิไชยาประชานุกูล),เตาปูน,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านถิ่น (ถิ่นวิทยาคาร),บ้านถิ่น,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าขวัญ (ราษฎร์บำรุง),ท่าข้าม,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านท่าวะ (ราษฎร์บำรุง),สะเอียบ,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งคัวะ,ไผ่โทน,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งแค้ว (คันธวงค์วิทยาคาร),ทุ่งแค้ว,หนองม่วงไข่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งเหนือ (ราษฎร์สามัคคี),สวนเขื่อน,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านทุ่งโฮ้ง (อภิวังวิทยาลัย),ทุ่งโฮ้ง,เมืองแพร่,แพร่,ประถมศึกษา–มัธยมศึกษาตอนต้น
โรงเรียนบ้านโทกค่า (สหราษฎร์บำรุง),แดนชุมพล,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านโทน (ราษฎร์อุทิศ),แม่ยางตาล,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนันทาราม (นันทราษฎร์วิทยา),แม่ยม,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาคูหา,สวนเขื่อน,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาจักร (จักรราษฎร์บำรุง),นาจักร,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาตอง (นาตองสามัคคี),ช่อแฮ,เมืองแพร่,แพร่,ประถมศึกษา
โรงเรียนบ้านนาฝาย (ประชาสงเคราะห์),สะเอียบ,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านนาหลวง (ประชาพัฒนา),สะเอียบ,สอง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านนาแหลม (กองแก้วราษฎร์อุปถัมภ์),ทุ่งกวาว,เมืองแพร่,แพร่,ประถมศึกษา
โรงเรียนบ้านน้ำโค้ง (ประชานิมิตร),ร้องเข็ม,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านน้ำชำ (วิชัยชนานุเคราะห์),น้ำชำ,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านน้ำเลา (น้ำเลาวิทยาคาร),น้ำเลา,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านน้ำเลาเหนือ (เหรียญราษฎร์อนุสรณ์),น้ำเลา,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านในเวียง,ในเวียง,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านใน (อินทราษฎร์บำรุง),ช่อแฮ,เมืองแพร่,แพร่,ประถมศึกษา
โรงเรียนบ้านบุญแจ่ม (ประชาสามัคคี),น้ำเลา,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านบุญเริง (ประชานุสรณ์),บ้านเวียง,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปง (ป้อมประชานุกูล),ห้วยม้า,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปทุม (ถาวรราษฎร์ศึกษา),เหมืองหม้อ,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่ากล้วย,บ้านเวียง,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปากห้วย,วังธง,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านปางยาว (รัฐราษฎร์ผดุงวิทย์),ไผ่โทน,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าแดง (รัฐราษฎร์รังสรรค์),เตาปูน,สอง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านป่าแดง (วันรัตตวิทยา),ป่าแดง,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านป่าเลา (ประชานุสรณ์),สะเอียบ,สอง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านผารางวังหม้อ (มิตรประชา),ทุ่งศรี,ร้องกวาง,แพร่,ประถมศึกษา
โรงเรียนบ้านไผ่โทน (นวลราษฎร์วิทยา),ไผ่โทน,ร้องกวาง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านพันเชิง (วงศ์หล้าราษฎร์บำรุง),ช่อแฮ,เมืองแพร่,แพร่,ประถมศึกษา
โรงเรียนบ้านแม่กะทิง,ไผ่โทน,ร้องกวาง,แพร่,ประถมศึกษา
โรงเรียนบ้านแม่คำมี (รัตนปัญญา),แม่คำมี,หนองม่วงไข่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่แคม,สวนเขื่อน,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ทราย (คุรุราษฎร์เจริญวิทย์),แม่ทราย,ร้องกวาง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่พร้าว,สะเอียบ,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ยางกาด (มิตรภาพที่ 13),แม่ยางตาล,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ยางเปี้ยว (แก้วพิสณฑ์ประชานุกูล),แม่ยางฮ่อ,ร้องกวาง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่ยางโพธิ์ (โพธิ์ราษฎร์รังสรรค์),ร้องกวาง,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ยางยวง (ลูนราษฎร์สงเคราะห์),แม่ยางร้อง,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ยางร้อง (แม่ยางประชานุเคราะห์),แม่ยางร้อง,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่แรม,เตาปูน,สอง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่ลัว (วิริยะราษฏร์สงเคราะห์),ป่าแดง,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่หล่ายกาซ้อง (ลือราษฎร์อุปถัมภ์),แม่หล่าย,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่หล่าย (ประชานุสรณ์),แม่หล่าย,เมืองแพร่,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านย่านยาว (ย่านยาวประชาสรรค์),หนองม่วงไข่,หนองม่วงไข่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านร้องกวาง (จันทิมาคม),ร้องกวาง,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านร่องฟอง,ร่องฟอง,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านลอง (ฟองจันทร์ราษฎร์อุปถัมภ์),บ้านหนุน,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านลู (คัมภีร์ราษฎร์บำรุง),ห้วยหม้าย,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังช้าง (ธีรราษฎร์รังสฤษฏ์),แม่คำมี,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังดิน (วังดินราษฎร์บำรุง),บ้านกลาง,สอง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังปึ้ง,ไผ่โทน,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังโป่ง (ประชาบำรุง),ร้องกวาง,ร้องกวาง,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังฟ่อน (สิทธิราษฎร์บำรุง),หัวเมือง,สอง,แพร่,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านวังหงส์ (วังหงส์วิทยาคาร),วังหงส์,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านวังหลวง (วังมาประชาสามัคคี),วังหลวง,หนองม่วงไข่,แพร่,อนุบาล–ประถมศึกษา
โรงเรียนบ้านเวียงตั้ง (คำวรรณประชานุกูล),วังธง,เมืองแพร่,แพร่,อนุบาล–ประถมศึกษา
