name,subDistrict,district,province,level
โรงเรียนขุนยวมวิทยา,ขุนยวม,ขุนยวม,แม่ฮ่องสอน,มัธยมศึกษา
โรงเรียนเฉลิมรัชวิทยาคม,กองก๋อย,สบเมย,แม่ฮ่องสอน,มัธยมศึกษา
โรงเรียนปางมะผ้าพิทยาสรรพ์,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,มัธยมศึกษา
โรงเรียนปายวิทยาคาร,เวียงใต้,ปาย,แม่ฮ่องสอน,มัธยมศึกษา
โรงเรียนแม่ลาน้อยดรุณสิกข์,แม่ลาน้อย,แม่ลาน้อย,แม่ฮ่องสอน,มัธยมศึกษา
"โรงเรียนแม่สะเรียง ""บริพัตรศึกษา""",บ้านกาศ,แม่สะเรียง,แม่ฮ่องสอน,มัธยมศึกษา
โรงเรียนสบเมยวิทยาคม,แม่คะตวน,สบเมย,แม่ฮ่องสอน,มัธยมศึกษา
โรงเรียนห้องสอนศึกษา ในพระอุปถัมภ์ฯ,จองคำ,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,มัธยมศึกษา
โรงเรียนขุนยวม,ขุนยวม,ขุนยวม,แม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนเขตพื้นที่การศึกษาอำเภอขุนยวม,ขุนยวม,ขุนยวม,แม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนเขตพื้นที่การศึกษาอำเภอปางมะผ้า,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนเขตพื้นที่การศึกษาอำเภอปาย,แม่นาเติง,ปาย,แม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนเขตพื้นที่การศึกษาอำเภอเมืองแม่ฮ่องสอน,จองคำ,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนต่อแพวิทยา,แม่เงา,ขุนยวม,แม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านปางหมู,ปางหมู,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านผาบ่อง,ผาบ่อง,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านเมืองปอน,เมืองปอน,ขุนยวม,แม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านแม่ฮี้,แม่ฮี้,ปาย,แม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านหมอกจำแป่,หมอกจำแป่,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียน ตชด. บำรุงที่ 60,แม่เงา,ขุนยวม,แม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 99 (บ้านแม่สุยะ),ห้วยผา,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกลาง,ห้วยโป่ง,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกึ๊ดสามสิบ,สบป่อง,ปางมะผ้า,แม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
